"Step","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/approx_kl_divergence","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/approx_kl_divergence__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - offpolicy/approx_kl_divergence__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/approx_kl_divergence","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/approx_kl_divergence__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - offpolicy/approx_kl_divergence__MAX","20260203_144832_traj_reward_fresh_configA - offpolicy/approx_kl_divergence","20260203_144832_traj_reward_fresh_configA - offpolicy/approx_kl_divergence__MIN","20260203_144832_traj_reward_fresh_configA - offpolicy/approx_kl_divergence__MAX","20260203_141744_traj_reward_fresh - offpolicy/approx_kl_divergence","20260203_141744_traj_reward_fresh - offpolicy/approx_kl_divergence__MIN","20260203_141744_traj_reward_fresh - offpolicy/approx_kl_divergence__MAX","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/approx_kl_divergence","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/approx_kl_divergence__MIN","20260201_191930_traj_reward_fresh_configA_IS - offpolicy/approx_kl_divergence__MAX","20260201_191332_traj_reward_fresh - offpolicy/approx_kl_divergence","20260201_191332_traj_reward_fresh - offpolicy/approx_kl_divergence__MIN","20260201_191332_traj_reward_fresh - offpolicy/approx_kl_divergence__MAX","20260131_160147_step_reward_fresh_configA - offpolicy/approx_kl_divergence","20260131_160147_step_reward_fresh_configA - offpolicy/approx_kl_divergence__MIN","20260131_160147_step_reward_fresh_configA - offpolicy/approx_kl_divergence__MAX","20260131_160100_step_reward_fresh - offpolicy/approx_kl_divergence","20260131_160100_step_reward_fresh - offpolicy/approx_kl_divergence__MIN","20260131_160100_step_reward_fresh - offpolicy/approx_kl_divergence__MAX","20260131_155522_traj_reward_fresh - offpolicy/approx_kl_divergence","20260131_155522_traj_reward_fresh - offpolicy/approx_kl_divergence__MIN","20260131_155522_traj_reward_fresh - offpolicy/approx_kl_divergence__MAX","20260131_155911_traj_reward_fresh_configA - offpolicy/approx_kl_divergence","20260131_155911_traj_reward_fresh_configA - offpolicy/approx_kl_divergence__MIN","20260131_155911_traj_reward_fresh_configA - offpolicy/approx_kl_divergence__MAX"
"0","0.1794077306985855","0.1794077306985855","0.1794077306985855","0.09834492951631546","0.09834492951631546","0.09834492951631546","0.15963569283485413","0.15963569283485413","0.15963569283485413","0.1422228217124939","0.1422228217124939","0.1422228217124939","0.15533708035945892","0.15533708035945892","0.15533708035945892","0.15119746327400208","0.15119746327400208","0.15119746327400208","0.0565948411822319","0.0565948411822319","0.0565948411822319","0.2516596019268036","0.2516596019268036","0.2516596019268036","0.150701105594635","0.150701105594635","0.150701105594635","0.21958327293395996","0.21958327293395996","0.21958327293395996"
"1","0.12738217413425446","0.12738217413425446","0.12738217413425446","0.15991897881031036","0.15991897881031036","0.15991897881031036","0.1989256739616394","0.1989256739616394","0.1989256739616394","0.23106959462165833","0.23106959462165833","0.23106959462165833","0.13266484439373016","0.13266484439373016","0.13266484439373016","0.15460965037345886","0.15460965037345886","0.15460965037345886","-0.19770893454551697","-0.19770893454551697","-0.19770893454551697","0.23981274664402008","0.23981274664402008","0.23981274664402008","0.13624230027198792","0.13624230027198792","0.13624230027198792","0.21755096316337585","0.21755096316337585","0.21755096316337585"
"2","0.16142907738685608","0.16142907738685608","0.16142907738685608","0.15070176124572754","0.15070176124572754","0.15070176124572754","0.16986125707626343","0.16986125707626343","0.16986125707626343","0.13341529667377472","0.13341529667377472","0.13341529667377472","0.16775861382484436","0.16775861382484436","0.16775861382484436","0.17651256918907166","0.17651256918907166","0.17651256918907166","-0.3447827994823456","-0.3447827994823456","-0.3447827994823456","0.3192354738712311","0.3192354738712311","0.3192354738712311","0.1281805783510208","0.1281805783510208","0.1281805783510208","0.14023149013519287","0.14023149013519287","0.14023149013519287"
"3","0.14419905841350555","0.14419905841350555","0.14419905841350555","0.15420955419540405","0.15420955419540405","0.15420955419540405","0.14717188477516174","0.14717188477516174","0.14717188477516174","0.17904344201087952","0.17904344201087952","0.17904344201087952","0.14365246891975403","0.14365246891975403","0.14365246891975403","0.21956667304039001","0.21956667304039001","0.21956667304039001","0.014050851576030254","0.014050851576030254","0.014050851576030254","0.3290596604347229","0.3290596604347229","0.3290596604347229","0.14524836838245392","0.14524836838245392","0.14524836838245392","0.15616154670715332","0.15616154670715332","0.15616154670715332"
"4","0.23737786710262299","0.23737786710262299","0.23737786710262299","0.19860118627548218","0.19860118627548218","0.19860118627548218","0.17459280788898468","0.17459280788898468","0.17459280788898468","0.17338471114635468","0.17338471114635468","0.17338471114635468","0.1526511311531067","0.1526511311531067","0.1526511311531067","0.15322718024253845","0.15322718024253845","0.15322718024253845","0.23056207597255707","0.23056207597255707","0.23056207597255707","0.3161085546016693","0.3161085546016693","0.3161085546016693","0.13965436816215515","0.13965436816215515","0.13965436816215515","0.12004641443490982","0.12004641443490982","0.12004641443490982"
"5","0.17044217884540558","0.17044217884540558","0.17044217884540558","0.3157768249511719","0.3157768249511719","0.3157768249511719","0.18805015087127686","0.18805015087127686","0.18805015087127686","0.20000305771827698","0.20000305771827698","0.20000305771827698","0.10005161911249161","0.10005161911249161","0.10005161911249161","0.22230717539787292","0.22230717539787292","0.22230717539787292","0.47604748606681824","0.47604748606681824","0.47604748606681824","0.5109274387359619","0.5109274387359619","0.5109274387359619","0.17831656336784363","0.17831656336784363","0.17831656336784363","0.26764240860939026","0.26764240860939026","0.26764240860939026"
"6","0.22067426145076752","0.22067426145076752","0.22067426145076752","0.30686137080192566","0.30686137080192566","0.30686137080192566","0.0950893685221672","0.0950893685221672","0.0950893685221672","0.22562569379806519","0.22562569379806519","0.22562569379806519","0.061833456158638","0.061833456158638","0.061833456158638","0.1947707086801529","0.1947707086801529","0.1947707086801529","0.46654024720191956","0.46654024720191956","0.46654024720191956","0.35806554555892944","0.35806554555892944","0.35806554555892944","0.15916012227535248","0.15916012227535248","0.15916012227535248","0.20124919712543488","0.20124919712543488","0.20124919712543488"
"7","0.0769379734992981","0.0769379734992981","0.0769379734992981","0.1760292500257492","0.1760292500257492","0.1760292500257492","0.1292867660522461","0.1292867660522461","0.1292867660522461","0.2477734237909317","0.2477734237909317","0.2477734237909317","0.1235368475317955","0.1235368475317955","0.1235368475317955","0.17028889060020447","0.17028889060020447","0.17028889060020447","0.4979383647441864","0.4979383647441864","0.4979383647441864","0.40473446249961853","0.40473446249961853","0.40473446249961853","0.1649104654788971","0.1649104654788971","0.1649104654788971","0.17528073489665985","0.17528073489665985","0.17528073489665985"
"8","0.10669674724340439","0.10669674724340439","0.10669674724340439","0.17172934114933014","0.17172934114933014","0.17172934114933014","0.10260583460330963","0.10260583460330963","0.10260583460330963","0.11909033358097076","0.11909033358097076","0.11909033358097076","0.07069214433431625","0.07069214433431625","0.07069214433431625","0.2870590388774872","0.2870590388774872","0.2870590388774872","0.6258231401443481","0.6258231401443481","0.6258231401443481","0.5821781158447266","0.5821781158447266","0.5821781158447266","0.16803988814353943","0.16803988814353943","0.16803988814353943","0.10297077894210815","0.10297077894210815","0.10297077894210815"
"9","0.0742802694439888","0.0742802694439888","0.0742802694439888","0.2131771594285965","0.2131771594285965","0.2131771594285965","0.12458735704421997","0.12458735704421997","0.12458735704421997","0.145810067653656","0.145810067653656","0.145810067653656","0.08578368276357651","0.08578368276357651","0.08578368276357651","0.15996801853179932","0.15996801853179932","0.15996801853179932","0.6485921740531921","0.6485921740531921","0.6485921740531921","0.6551642417907715","0.6551642417907715","0.6551642417907715","0.20090994238853455","0.20090994238853455","0.20090994238853455","0.19816012680530548","0.19816012680530548","0.19816012680530548"
