"Step","20260203_145728_traj_reward_fresh_configA_age1500 - actor_train/grad_norm","20260203_145728_traj_reward_fresh_configA_age1500 - actor_train/grad_norm__MIN","20260203_145728_traj_reward_fresh_configA_age1500 - actor_train/grad_norm__MAX","20260203_145221_traj_reward_fresh_configA_age1000 - actor_train/grad_norm","20260203_145221_traj_reward_fresh_configA_age1000 - actor_train/grad_norm__MIN","20260203_145221_traj_reward_fresh_configA_age1000 - actor_train/grad_norm__MAX","20260203_144832_traj_reward_fresh_configA - actor_train/grad_norm","20260203_144832_traj_reward_fresh_configA - actor_train/grad_norm__MIN","20260203_144832_traj_reward_fresh_configA - actor_train/grad_norm__MAX","20260203_141744_traj_reward_fresh - actor_train/grad_norm","20260203_141744_traj_reward_fresh - actor_train/grad_norm__MIN","20260203_141744_traj_reward_fresh - actor_train/grad_norm__MAX","20260201_191930_traj_reward_fresh_configA_IS - actor_train/grad_norm","20260201_191930_traj_reward_fresh_configA_IS - actor_train/grad_norm__MIN","20260201_191930_traj_reward_fresh_configA_IS - actor_train/grad_norm__MAX","20260201_191332_traj_reward_fresh - actor_train/grad_norm","20260201_191332_traj_reward_fresh - actor_train/grad_norm__MIN","20260201_191332_traj_reward_fresh - actor_train/grad_norm__MAX","20260131_160147_step_reward_fresh_configA - actor_train/grad_norm","20260131_160147_step_reward_fresh_configA - actor_train/grad_norm__MIN","20260131_160147_step_reward_fresh_configA - actor_train/grad_norm__MAX","20260131_160100_step_reward_fresh - actor_train/grad_norm","20260131_160100_step_reward_fresh - actor_train/grad_norm__MIN","20260131_160100_step_reward_fresh - actor_train/grad_norm__MAX","20260131_155522_traj_reward_fresh - actor_train/grad_norm","20260131_155522_traj_reward_fresh - actor_train/grad_norm__MIN","20260131_155522_traj_reward_fresh - actor_train/grad_norm__MAX","20260131_155911_traj_reward_fresh_configA - actor_train/grad_norm","20260131_155911_traj_reward_fresh_configA - actor_train/grad_norm__MIN","20260131_155911_traj_reward_fresh_configA - actor_train/grad_norm__MAX"
"0","0","0","0","22.19356918334961","22.19356918334961","22.19356918334961","27.471874237060547","27.471874237060547","27.471874237060547","158.56011962890625","158.56011962890625","158.56011962890625","13.674431800842285","13.674431800842285","13.674431800842285","164.10110473632812","164.10110473632812","164.10110473632812","0","0","0","38.07109832763672","38.07109832763672","38.07109832763672","110.57462310791016","110.57462310791016","110.57462310791016","20.457124710083008","20.457124710083008","20.457124710083008"
"1","7.808769702911377","7.808769702911377","7.808769702911377","0","0","0","24.286563873291016","24.286563873291016","24.286563873291016","192.36593627929688","192.36593627929688","192.36593627929688","0","0","0","708.4913940429688","708.4913940429688","708.4913940429688","0","0","0","368.4486389160156","368.4486389160156","368.4486389160156","281.7274169921875","281.7274169921875","281.7274169921875","0","0","0"
"2","2.920290231704712","2.920290231704712","2.920290231704712","26.0754337310791","26.0754337310791","26.0754337310791","19.27524757385254","19.27524757385254","19.27524757385254","87.52792358398438","87.52792358398438","87.52792358398438","0","0","0","321.6692810058594","321.6692810058594","321.6692810058594","20.153709411621094","20.153709411621094","20.153709411621094","75.76176452636719","75.76176452636719","75.76176452636719","433.64031982421875","433.64031982421875","433.64031982421875","0","0","0"
"3","0","0","0","1.4053088426589966","1.4053088426589966","1.4053088426589966","5.497751712799072","5.497751712799072","5.497751712799072","477.20184326171875","477.20184326171875","477.20184326171875","0","0","0","369.6063232421875","369.6063232421875","369.6063232421875","0","0","0","562.236328125","562.236328125","562.236328125","653.916259765625","653.916259765625","653.916259765625","0","0","0"
"4","0","0","0","0","0","0","42.02021789550781","42.02021789550781","42.02021789550781","94.42121887207031","94.42121887207031","94.42121887207031","0","0","0","357.2668762207031","357.2668762207031","357.2668762207031","0","0","0","225.44900512695312","225.44900512695312","225.44900512695312","510.2474670410156","510.2474670410156","510.2474670410156","0","0","0"
"5","33.71528625488281","33.71528625488281","33.71528625488281","32.0856819152832","32.0856819152832","32.0856819152832","81.86788940429688","81.86788940429688","81.86788940429688","132.3948211669922","132.3948211669922","132.3948211669922","0","0","0","197.49923706054688","197.49923706054688","197.49923706054688","0","0","0","204.10543823242188","204.10543823242188","204.10543823242188","310.70306396484375","310.70306396484375","310.70306396484375","0","0","0"
"6","19.438690185546875","19.438690185546875","19.438690185546875","117.71192932128906","117.71192932128906","117.71192932128906","27.929651260375977","27.929651260375977","27.929651260375977","193.62173461914062","193.62173461914062","193.62173461914062","0","0","0","205.00914001464844","205.00914001464844","205.00914001464844","0","0","0","203.78050231933594","203.78050231933594","203.78050231933594","383.0130310058594","383.0130310058594","383.0130310058594","0","0","0"
"7","36.645782470703125","36.645782470703125","36.645782470703125","61.638893127441406","61.638893127441406","61.638893127441406","83.8055191040039","83.8055191040039","83.8055191040039","187.2681121826172","187.2681121826172","187.2681121826172","0","0","0","344.8677673339844","344.8677673339844","344.8677673339844","0","0","0","333.6671447753906","333.6671447753906","333.6671447753906","289.9001770019531","289.9001770019531","289.9001770019531","0","0","0"
"8","17.531204223632812","17.531204223632812","17.531204223632812","54.70598220825195","54.70598220825195","54.70598220825195","40.02483367919922","40.02483367919922","40.02483367919922","725.5660400390625","725.5660400390625","725.5660400390625","0","0","0","265.6038818359375","265.6038818359375","265.6038818359375","0","0","0","354.805419921875","354.805419921875","354.805419921875","303.124267578125","303.124267578125","303.124267578125","0","0","0"
"9","23.318208694458008","23.318208694458008","23.318208694458008","59.46039581298828","59.46039581298828","59.46039581298828","22.082977294921875","22.082977294921875","22.082977294921875","433.47528076171875","433.47528076171875","433.47528076171875","0","0","0","333.9693298339844","333.9693298339844","333.9693298339844","0","0","0","488.16656494140625","488.16656494140625","488.16656494140625","294.649658203125","294.649658203125","294.649658203125","0","0","0"
